Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
777,Michael Stone,29,CGY,D,33,444,533,45.4,-7.7,331,401,45.2,-7.2,7.7,91.5,99.3,53.1,46.9,16:19,14:49,6,9,-4.9,110,51.8,stonemi01
778,Anton Strålman,33,FLA,D,69,1137,1264,47.4,-3.7,869,943,48.0,-3.2,9.7,89.3,99.0,48.1,51.9,21:04,18:09,40,48,-6.4,168,53.0,stralan01
779,Ben Street,32,NJD,C,3,12,23,34.3,-14.1,8,17,32.0,-17.4,16.7,100.0,116.7,40.0,60.0,8:08,5:30,0,0,-0.8,6,66.7,streebe01
780,Dylan Strome,22,CHI,C,58,749,769,49.3,1.8,540,567,48.8,1.8,10.0,92.0,102.0,56.6,43.4,15:56,13:13,30,26,-4.0,147,66.0,stromdy01
781,Ryan Strome,26,NYR,C,70,994,1041,48.8,3.2,787,785,50.1,3.9,12.2,91.8,104.0,53.0,47.0,19:35,14:22,27,54,7.9,241,63.9,stromry01
782,Jack Studnicka,20,BOS,C,2,19,19,50.0,6.3,16,17,48.5,8.5,18.2,100.0,118.2,50.0,50.0,12:08,11:06,0,3,0.4,4,75.0,studnja01
783,Nico Sturm,24,MIN,C,6,56,51,52.3,2.7,38,32,54.3,4.2,10.7,96.0,106.7,43.1,56.9,11:54,11:22,1,1,0.1,4,50.0,sturmni01
784,P.K. Subban,30,NJD,D,68,1118,1249,47.2,1.9,876,946,48.1,2.1,6.5,91.1,97.6,48.2,51.8,22:07,17:53,19,65,-6.5,292,51.7,subbapk01
785,C.J. Suess,25,WPG,LW,1,2,13,13.3,-18.6,1,12,7.7,-19.8,,87.5,,25.0,75.0,6:26,6:26,0,0,-0.5,1,0.0,frankcl01
786,Oskar Sundqvist,25,STL,C,57,598,662,47.5,-5.6,454,494,47.9,-4.5,9.5,92.1,101.6,38.6,61.4,14:23,12:27,36,11,-2.6,167,58.1,sundqos01
787,Antti Suomela,25,SJS,C,20,165,185,47.1,-2.9,115,132,46.6,-3.2,11.9,93.6,105.5,46.7,53.3,9:41,9:16,6,4,1.4,29,62.1,suomean01
788,Ryan Suter,35,MIN,D,69,1295,1287,50.2,1.1,949,994,48.8,-1.5,10.4,89.9,100.3,49.5,50.5,24:38,19:08,19,27,2.4,253,43.9,suterry01
789,Brandon Sutter,30,VAN,C/RW,44,430,535,44.6,-6.5,335,392,46.1,-5.4,8.2,93.3,101.5,31.9,68.1,14:51,11:36,15,9,-3.9,112,67.9,suttebr03
790,Nick Suzuki,20,MTL,C,71,943,822,53.4,-1.6,689,617,52.8,-1.9,7.1,90.4,97.5,53.7,46.3,15:59,13:23,31,37,0.6,222,62.2,suzukni01
791,Andrei Svechnikov,19,CAR,RW,68,1034,800,56.4,3.1,791,630,55.7,3.1,10.8,89.1,100.0,54.1,45.9,16:44,13:44,29,66,10.1,320,57.2,svechan01
792,Evgeny Svechnikov,23,DET,LW,4,34,28,54.8,-1.6,28,24,53.8,-1.5,0.0,94.7,94.7,42.9,57.1,8:20,7:36,0,3,0.5,10,70.0,svechev01
793,Jordan Szwarz,28,OTT,RW,3,7,15,31.8,-14.8,5,5,50.0,2.3,0.0,100.0,100.0,50.0,50.0,4:55,4:55,0,0,-0.1,2,100.0,szwarjo01
794,Brandon Tanev,28,PIT,LW,68,690,703,49.5,-1.8,505,529,48.8,-3.3,7.2,91.9,99.1,38.2,61.8,14:46,12:26,33,37,-4.0,162,59.3,tanevbr01
795,Chris Tanev,30,VAN,D,69,959,1119,46.2,-3.3,727,809,47.3,-2.6,11.6,90.5,102.2,45.7,54.3,19:32,15:51,20,45,-10.2,98,45.9,tanevch01
796,Vladimir Tarasenko,28,STL,RW,10,122,110,52.6,4.4,94,82,53.4,5.1,11.4,86.2,97.6,58.7,41.3,16:11,13:43,3,5,0.0,47,55.3,tarasvl01
797,Tomáš Tatar,29,MTL,C,68,1224,791,60.7,8.6,917,609,60.1,8.2,9.2,88.4,97.7,52.4,47.6,16:18,13:58,31,29,17.0,264,61.4,tatarto01
798,John Tavares,29,TOR,C,63,1110,978,53.2,1.4,837,768,52.1,0.8,10.0,88.1,98.1,53.2,46.8,19:32,16:26,35,47,3.4,357,55.2,tavarjo01
799,Matt Tennyson,29,NJD,D,20,197,232,45.9,-2.0,159,180,46.9,-2.3,14.8,86.2,100.9,53.2,46.8,12:09,12:05,2,8,-0.3,26,53.8,tennyma01
